Thực tế,Dự đoán
9.0,-3.1651392
-8.0,-5.164255
-19.0,-19.82989
-14.0,-4.8247766
-18.0,-12.567393
-1.0,5.5356116
64.0,63.998486
-22.0,-13.694713
0.0,1.4910889
143.0,146.09406
7.0,16.240107
-21.0,-21.815283
-26.0,-13.894389
-8.0,-9.257295
-25.0,-11.387762
8.0,16.317858
9.0,11.152367
12.0,10.68632
-14.0,-20.647264
-1.0,-14.354856
57.0,57.03355
5.0,4.9000025
-3.0,4.6779246
-32.0,-17.127752
-9.0,-3.9782362
2.0,3.5730867
36.0,39.863087
-11.0,-14.104348
30.0,35.38208
6.0,-14.650161
16.0,2.537061
-22.0,-12.121587
-2.0,-14.362545
-9.0,-12.362442
-10.0,-10.707316
-2.0,-12.378078
-15.0,-12.529492
11.0,-10.051794
-1.0,-19.10693
47.0,47.20865
72.0,86.842186
-23.0,-19.293322
-33.0,-17.83771
147.0,150.27652
5.0,-0.10704702
-22.0,-10.542508
-3.0,-2.4255543
10.0,3.6053398
5.0,-3.6614933
-16.0,-17.921297
-8.0,-12.708689
15.0,-4.294295
-9.0,-4.333888
-16.0,-21.77376
-20.0,-14.166528
-3.0,-6.9028115
-7.0,-0.17117245
8.0,14.993677
-14.0,-12.523274
-13.0,-10.158067
0.0,5.2754183
-14.0,-14.265066
-17.0,9.992847
-6.0,-8.63518
-4.0,-1.4206588
-14.0,-1.3307278
872.0,679.0915
2.0,-3.4582915
1.0,-7.839935
-1.0,2.723334
-19.0,-11.99948
-18.0,-6.6663184
-24.0,-18.890574
-21.0,-12.677796
-9.0,-4.057817
-18.0,-14.768428
-29.0,-20.290983
37.0,40.355766
19.0,16.677391
-20.0,-17.262438
-11.0,-11.935533
8.0,22.981152
120.0,120.61014
-8.0,-18.744371
1.0,-0.91112214
-11.0,-15.6306305
-15.0,-13.259023
19.0,20.393707
-5.0,-6.5748425
-37.0,-14.890013
-23.0,-17.520918
4.0,-2.8387136
4.0,4.374302
-22.0,-18.323458
-17.0,-6.366303
93.0,102.03218
-16.0,-7.1662045
-14.0,-10.768438
-5.0,-3.8726852
-2.0,-4.745944
-16.0,-13.154078
27.0,13.058044
-1.0,8.147823
-5.0,-11.534503
-9.0,-11.580058
25.0,27.893581
-10.0,-14.378127
5.0,1.6212676
-36.0,-27.558296
25.0,17.62179
-20.0,-14.748362
-13.0,-12.145483
87.0,93.25432
-49.0,-15.471979
-5.0,-5.2014427
-19.0,-14.890834
-21.0,-15.958784
-18.0,-14.920933
10.0,-1.1127424
-8.0,-11.198832
-4.0,-12.151866
-25.0,-19.568396
-4.0,-5.4214854
-7.0,-5.0018606
-29.0,-20.943933
7.0,12.568417
-11.0,-11.668368
-8.0,-12.929537
16.0,21.889282
-6.0,-9.869811
-22.0,-15.2389765
-17.0,-21.702564
-12.0,-9.8932495
-9.0,-11.655728
-19.0,-15.830649
-12.0,-12.823716
-16.0,-6.9438186
-22.0,-13.816231
-2.0,-18.151138
233.0,224.35695
0.0,2.62113
-20.0,-16.65868
6.0,-4.4479966
1.0,-11.618852
81.0,79.40922
-11.0,-20.39027
-15.0,-11.351863
-3.0,-5.184049
-18.0,-16.334213
-11.0,-12.312663
-6.0,-3.1252928
0.0,-3.007721
-11.0,-6.6492352
-22.0,-7.007
-5.0,-2.0390663
23.0,17.934666
-8.0,-9.444529
-9.0,-9.58827
8.0,15.2174225
2.0,-17.272572
-9.0,-10.589589
-7.0,-3.245752
-3.0,-0.50024384
-11.0,-11.933722
-1.0,-9.84664
-17.0,-15.876075
-6.0,-5.1002035
-6.0,-4.7143416
-11.0,-9.793558
-8.0,-20.713127
-7.0,-15.068443
38.0,31.842106
-15.0,-12.8512745
-34.0,-19.904509
4.0,-4.609727
14.0,9.468774
51.0,-6.8347683
28.0,18.914165
17.0,14.849435
10.0,4.114166
-2.0,-4.028701
27.0,36.283188
-29.0,-19.447544
-4.0,-4.5630355
16.0,2.31524
-3.0,-7.5222254
-10.0,-4.3145595
18.0,2.622426
28.0,18.691479
-16.0,-9.767991
-14.0,-7.4336777
-5.0,-10.820247
-10.0,-0.34627637
38.0,38.421463
94.0,96.010124
-12.0,-15.109517
274.0,236.02588
-5.0,-0.98155177
31.0,15.3602
-1.0,-10.200842
-9.0,-3.5927787
-8.0,5.596102
-12.0,-12.53484
4.0,-2.1741943
-15.0,-14.021134
-12.0,-9.417884
-15.0,-9.004362
-27.0,-19.410072
6.0,8.461102
-23.0,-20.017471
3.0,4.317309
-20.0,-17.424623
-9.0,-15.622466
-5.0,-6.4017334
-7.0,-0.021042597
-6.0,-14.168669
-9.0,-10.201913
5.0,5.6762514
-14.0,-10.329345
-18.0,-8.060702
-28.0,-8.285678
36.0,56.24474
26.0,31.130093
11.0,4.9697604
-21.0,-16.392673
56.0,57.122093
-18.0,-12.068982
-42.0,-15.859301
-38.0,-15.808974
-14.0,-8.627692
-6.0,-17.60702
-16.0,-12.578354
1.0,8.828411
-19.0,-15.945478
-20.0,-17.924479
-5.0,-5.1051593
-6.0,1.1785519
138.0,148.60846
148.0,152.38496
-13.0,-16.030298
-8.0,-9.900843
-4.0,-5.598861
-14.0,-15.777565
-27.0,-20.668446
9.0,21.428793
-18.0,-11.369397
-15.0,-18.21137
9.0,2.0268562
-19.0,-9.144183
0.0,-3.746205
842.0,592.87146
-10.0,-13.453591
-15.0,-12.89918
-13.0,-17.10864
8.0,8.129905
48.0,67.04745
266.0,227.82693
1.0,-5.775843
48.0,40.41135
-5.0,1.1861055
-32.0,-3.5751176
-30.0,-25.136734
21.0,0.2087237
-8.0,-4.8761973
-13.0,-13.734248
45.0,51.88726
-16.0,-13.066888
19.0,15.810635
-25.0,-11.202297
-14.0,-9.379685
27.0,26.643524
-3.0,-14.2347
-1.0,-5.686005
-22.0,-18.78345
-14.0,-11.344271
-22.0,-29.210302
-5.0,-4.2995887
21.0,4.5940266
-7.0,-14.951403
-19.0,-12.617547
28.0,-4.3601685
-4.0,-8.801488
-19.0,-13.513736
-5.0,1.2150701
-19.0,-16.619196
1.0,-2.8696887
-52.0,-16.665728
-17.0,-9.255757
-16.0,-15.483203
-4.0,-12.577379
85.0,82.616425
43.0,30.406216
-13.0,-12.837724
-4.0,-1.128528
-3.0,-20.027527
19.0,30.527636
4.0,14.502636
-3.0,-10.698472
6.0,2.6457486
-9.0,-15.301514
-19.0,-19.521833
35.0,25.522905
-35.0,-9.537523
16.0,-21.936342
-6.0,-6.1013308
-11.0,-8.458265
-6.0,-5.1483974
-20.0,-20.542843
-9.0,-17.641155
3.0,-5.977384
-1.0,-8.718074
-6.0,-0.35235524
-4.0,-3.3482416
-4.0,-11.050925
-17.0,-9.57072
-1.0,-4.8287535
34.0,25.440851
-22.0,-9.8048315
-17.0,-17.503391
-8.0,-7.1550694
43.0,35.397316
25.0,13.451013
-15.0,-0.67119265
-28.0,-21.291353
-19.0,-21.368336
-17.0,-8.425636
23.0,14.081187
-10.0,-12.5823345
-3.0,10.126392
-4.0,-13.578868
-4.0,-13.05245
-13.0,-14.754041
-12.0,-13.65972
-11.0,-17.007204
48.0,48.77342
34.0,32.3815
25.0,20.428303
-9.0,-15.384831
21.0,14.889584
14.0,11.54138
-11.0,-8.315813
-15.0,-9.737677
-19.0,-11.100158
13.0,15.0147505
-10.0,-7.8170323
-12.0,-4.56307
-2.0,-1.0695903
-17.0,-14.174322
-13.0,-10.221468
-50.0,-23.446556
0.0,-4.8826537
-12.0,-13.896111
-16.0,-16.875053
-17.0,-7.353085
-16.0,-12.906531
-20.0,-14.017863
3.0,3.0459635
-33.0,-23.748352
5.0,-2.1164517
-11.0,-20.705645
-2.0,-1.1918411
-15.0,-16.304607
-5.0,-3.257373
-13.0,-15.308362
-3.0,-6.7039733
-13.0,-13.273675
-1.0,-8.026233
23.0,28.425295
-19.0,-14.438535
13.0,8.524155
3.0,-0.36767435
-8.0,-12.78928
-3.0,-4.4610634
64.0,108.02319
-8.0,-7.3882875
31.0,39.89786
-12.0,-4.2859693
-9.0,-10.556961
15.0,10.843359
26.0,30.719738
51.0,43.43921
-13.0,-17.308401
-6.0,-5.0261908
-7.0,-6.1881037
42.0,39.198303
-11.0,-14.263216
-2.0,-11.348929
-11.0,-15.450577
-15.0,-10.590916
3.0,-3.2176821
-12.0,-8.689642
-23.0,-11.2643385
-4.0,-5.319077
-7.0,-19.514261
-16.0,-14.594578
27.0,27.930408
-2.0,-10.907394
-6.0,-6.919857
-8.0,-11.571945
-15.0,-10.857686
-15.0,-15.270267
-2.0,0.41908395
51.0,49.96878
-12.0,-5.8672004
-40.0,-20.857794
-14.0,-12.43765
13.0,1.2564665
-15.0,-7.5781865
27.0,56.425568
-14.0,-11.295859
-8.0,-13.804837
-6.0,-2.4908764
6.0,0.47244236
-24.0,-19.20312
-8.0,-13.153134
-31.0,-17.364836
23.0,20.985586
49.0,56.388027
-30.0,-26.27394
-28.0,-16.847095
24.0,3.7138917
6.0,-1.7208236
7.0,12.644372
37.0,45.931927
-18.0,-12.556196
-12.0,-7.490655
-14.0,-5.6102076
263.0,236.6321
-16.0,-8.09547
-15.0,-12.821689
-4.0,-2.7650034
-22.0,-11.913077
-12.0,-15.219787
4.0,-10.123159
0.0,7.8709307
13.0,7.686165
-5.0,-13.801223
2.0,-2.4199386
196.0,181.0569
-18.0,-15.0877495
9.0,-11.537808
-20.0,-22.237259
-9.0,-4.9202957
18.0,5.8229904
1.0,-3.8054526
-9.0,-9.301412
-16.0,-16.640072
-15.0,4.346021
-7.0,-3.6867132
16.0,13.090748
0.0,6.2371826
-20.0,-13.708893
-7.0,-9.414789
-9.0,-8.293124
-1.0,0.4339886
138.0,152.88728
-9.0,-12.523774
6.0,5.708786
-14.0,-11.916911
-4.0,13.697604
-15.0,-14.698512
13.0,7.24714
1.0,-4.163987
6.0,12.176611
-16.0,-12.467247
-22.0,-17.848976
33.0,4.8327065
-16.0,-14.86114
-4.0,-9.866176
-30.0,-26.45837
-1.0,-6.976742
15.0,-25.246353
13.0,3.6102128
-5.0,-9.411872
76.0,81.352325
-15.0,-15.775555
7.0,-4.7501154
16.0,21.225508
-9.0,-11.967678
-10.0,10.955813
-16.0,-15.703236
-16.0,-17.781355
13.0,11.8268585
-8.0,-7.255737
-42.0,-17.595041
-29.0,-20.47608
-3.0,-0.847137
-3.0,-0.9671925
-22.0,-21.41937
-19.0,-12.182145
25.0,20.45276
10.0,18.378063
-35.0,-16.002476
-33.0,-27.896566
-6.0,-2.8975003
16.0,10.980937
-32.0,-17.150785
63.0,55.2986
-31.0,-18.431093
8.0,13.058408
66.0,30.443768
-9.0,-9.159773
-41.0,-21.493658
-25.0,-19.294783
-20.0,-12.784013
-10.0,-14.848175
-10.0,-2.2936418
21.0,-8.9632225
4.0,-8.972691
-16.0,-19.122097
-18.0,-12.217161
-25.0,-10.900178
-21.0,-17.412271
-22.0,-17.128645
-13.0,-13.398499
-34.0,-19.344534
-10.0,-11.656441
4.0,2.2420592
90.0,82.89477
20.0,2.0888777
-15.0,-11.907783
-38.0,-18.35419
-19.0,-16.486227
-12.0,-11.94174
-25.0,-8.438354
-8.0,-20.808601
8.0,8.772099
-21.0,-15.942532
-8.0,-8.402968
-1.0,-1.5347449
-25.0,-22.264812
-4.0,-11.856376
-20.0,-16.11989
-12.0,-12.339064
